station_id,hour,outflow,inflow
4074.14,8,1,0
4846.01,13,0,2
4883.03,17,0,1
4927.04,17,0,1
4939.07,13,0,1
4953.04,7,0,1
4962.08,10,0,1
4987.06,9,0,1
4993.02,8,0,2
4993.02,10,0,2
4993.13,10,0,1
4993.15,8,0,1
4993.15,9,0,2
4993.15,10,0,1
5027.02,9,0,1
5033.01,12,0,1
5059.02,8,0,1
5065.04,11,0,1
5065.10,8,0,1
5065.10,9,0,14
5065.10,10,0,7
5065.12,9,0,3
5065.12,10,0,3
5065.12,11,0,1
5065.14,9,0,1
5073.07,7,0,1
5073.07,14,0,1
5096.12,8,0,1
5099.02,8,0,1
5105.01,9,0,1
5105.01,10,0,3
5105.01,12,0,2
5105.01,15,0,1
5105.09,9,0,1
5114.06,16,0,1
5114.06,17,0,1
5114.06,18,0,1
5114.06,19,0,1
5114.08,10,0,1
5114.08,18,0,2
5114.08,19,0,1
5137.10,11,0,1
5137.11,10,0,1
5137.11,12,0,1
5145.02,7,0,1
5145.02,10,0,1
5167.06,16,0,1
5170.01,7,0,1
5170.01,8,0,1
5175.08,8,0,5
5175.08,9,0,3
5175.08,10,0,2
5175.08,11,0,1
5175.08,12,0,1
5175.08,14,0,1
5175.08,17,0,1
5178.06,19,0,1
5184.08,19,0,1
5187.03,14,0,1
5207.01,10,0,2
5216.06,14,0,1
5216.06,16,0,1
5235.05,17,0,1
5235.10,17,0,1
5235.10,19,0,1
5241.02,8,0,1
5247.10,8,0,1
5279.03,11,0,1
5288.08,9,0,1
5288.08,10,0,1
5288.09,8,0,1
5288.09,14,0,1
5288.12,9,0,1
5288.12,10,0,2
5288.12,13,0,1
5297.02,7,0,5
5297.02,8,0,5
5297.02,9,0,4
5297.02,10,0,5
5297.02,11,0,4
5297.02,14,0,3
5297.02,15,0,2
5297.02,17,0,1
5297.02,18,0,1
5297.02,19,0,1
5297.02,21,0,1
5329.03,8,0,5
5329.03,9,0,1
5329.03,11,0,1
5329.03,13,0,2
5329.03,14,0,1
5329.03,16,0,1
5329.03,18,0,5
5329.03,19,0,8
5329.08,17,0,3
5359.10,8,0,1
5359.10,14,0,1
5359.10,15,0,1
5359.11,7,0,4
5359.11,10,0,2
5359.11,11,0,1
5359.11,12,0,2
5359.11,14,0,1
5359.11,19,0,1
5359.12,15,0,1
5359.13,11,0,1
5359.13,13,0,1
5368.03,7,0,1
5368.03,8,0,4
5368.03,9,0,1
5368.03,10,0,1
5368.03,11,0,2
5368.03,12,0,2
5368.03,13,0,1
5368.03,17,0,1
5368.03,18,0,2
5368.03,19,0,1
5391.06,8,0,1
5391.06,9,0,1
5391.06,10,0,1
5400.05,8,0,1
5400.05,11,0,1
5400.05,13,0,1
5419.04,17,0,1
5422.04,7,0,1
5422.04,8,0,1
5422.09,14,0,1
5422.09,19,0,2
5430.08,8,0,1
5430.08,9,0,2
5430.08,10,0,1
5430.08,12,0,5
5430.10,10,0,3
5430.10,13,0,1
5470.02,8,0,1
5470.02,10,0,2
5470.02,20,0,2
5470.10,7,0,1
5470.10,8,0,4
5470.10,9,0,1
5470.10,11,0,1
5470.10,12,0,2
5470.10,13,0,3
5470.12,7,0,11
5470.12,8,0,2
5470.12,9,0,3
5470.12,10,0,1
5470.12,16,0,2
5470.12,18,0,2
5484.09,17,0,1
5489.06,11,0,1
5492.05,8,0,2
5492.05,10,0,2
5492.05,13,0,1
5492.05,17,0,1
5500.07,12,0,2
5500.07,14,0,2
5509.02,9,0,1
5532.01,8,0,9
5532.01,10,0,16
5532.01,11,0,1
5539.06,8,0,2
5561.04,8,0,3
5561.04,10,0,1
5561.04,11,0,1
5561.06,7,0,4
5561.06,8,0,29
5569.06,8,0,1
5569.06,13,0,1
5578.02,8,0,3
5578.02,9,0,1
5584.04,16,0,1
5584.04,17,0,14
5584.04,18,0,5
5602.06,10,0,8
5602.06,11,0,2
5626.07,15,0,1
5644.05,10,0,1
5644.05,11,0,1
5644.05,15,0,1
5653.12,8,0,1
5659.05,18,0,1
5679.05,8,0,1
5679.08,8,0,3
5679.08,11,0,1
5679.08,18,0,1
5687.04,9,0,1
5687.04,16,0,2
5687.04,17,0,1
5696.03,9,0,3
5696.03,17,0,1
5712.12,15,0,2
5712.12,16,0,7
5712.12,18,0,2
5721.07,10,0,2
5721.14,18,0,1
5730.08,8,0,1
5730.08,19,0,1
5772.05,9,0,1
5779.11,17,0,3
5779.11,23,0,1
5805.07,11,0,1
5805.07,20,0,2
5838.09,18,0,1
5847.01,16,0,1
5872.10,7,0,1
5880.02,11,0,1
5905.12,10,0,1
5905.14,10,0,1
5914.08,12,0,1
5964.01,14,0,1
5980.07,15,0,1
5989.02,10,0,1
6022.04,14,0,1
6022.04,18,0,1
6022.04,19,0,1
6030.04,12,0,1
6039.06,10,0,1
6072.06,16,0,1
6072.11,7,0,1
6072.11,8,0,24
6072.11,9,0,13
6072.11,10,0,1
6072.11,11,0,2
6072.16,13,0,1
6089.07,9,0,1
6122.09,9,0,1
6148.02,9,0,1
6148.02,18,0,1
6157.04,7,0,6
6157.04,8,0,15
6157.04,9,0,3
6157.04,10,0,1
6157.04,11,0,2
6157.04,18,0,1
6173.08,15,0,1
6190.03,9,0,1
6224.03,13,0,1
6233.04,11,0,2
6233.04,13,0,1
6233.05,7,0,1
6233.05,8,0,2
6233.05,9,0,2
6233.05,10,0,2
6233.05,11,0,1
6289.06,17,1,0
6297.07,11,0,1
6297.07,18,0,1
6303.01,9,0,2
6306.01,14,0,1
6306.06,11,0,2
6364.07,12,0,1
6389.09,14,0,1
6398.06,8,0,1
6398.06,11,0,1
6398.08,12,0,1
6398.08,14,0,1
6422.09,22,0,1
6425.04,7,0,3
6425.04,8,1,5
6425.04,9,0,1
6432.10,7,0,1
6432.10,8,0,1
6432.11,6,0,20
6432.11,7,0,7
6432.11,8,0,6
6432.11,9,0,11
6432.11,10,0,6
6432.11,11,0,2
6450.05,18,0,1
6459.04,16,0,2
6459.04,18,1,1
6459.07,8,0,1
6459.07,9,0,1
6474.11,8,0,1
6474.11,15,0,1
6474.11,18,0,1
6483.06,16,0,1
6492.04,8,0,3
6492.04,9,0,1
6492.04,10,0,1
6492.08,18,1,1
6498.10,7,0,1
6498.10,8,0,1
6517.08,8,0,1
6526.01,14,0,1
6535.04,6,0,1
6535.04,7,0,2
6535.04,8,0,3
6551.02,8,0,1
6551.02,9,0,1
6551.02,10,0,1
6551.02,15,0,1
6551.11,7,0,2
6551.11,8,0,1
6551.11,9,0,1
6551.11,10,0,3
6551.11,14,0,1
6560.01,12,1,0
6560.01,18,0,1
6560.15,19,0,1
6566.01,13,0,1
6566.01,18,0,1
6569.07,18,0,1
6578.01,7,0,1
6584.12,9,0,1
6599.01,16,0,1
6599.01,21,0,1
6602.03,8,0,1
6617.02,6,0,1
6617.02,7,0,2
6617.02,8,0,8
6617.02,13,0,1
6626.11,14,0,1
6659.01,9,0,1
6659.03,12,0,1
6659.09,14,0,2
6691.11,8,0,1
6708.04,7,0,1
6708.04,8,0,1
6726.01,12,0,1
6732.01,13,0,1
6740.01,7,0,2
6740.01,8,0,3
6747.06,18,0,1
6753.08,11,0,1
6762.02,22,0,1
6765.01,6,0,3
6765.01,7,0,9
6765.01,8,0,2
6765.01,9,0,4
6765.01,15,0,1
6765.01,16,0,2
6765.01,18,0,1
6765.01,19,0,2
6801.01,9,0,1
6814.01,14,0,1
6822.09,11,0,1
6824.07,9,0,1
6839.10,8,0,1
6839.10,17,0,1
6876.04,13,0,1
6884.03,6,0,1
6884.03,7,0,2
6884.03,8,0,1
6884.03,19,0,1
6890.06,21,0,1
6920.03,13,0,1
6926.01,17,0,2
6926.01,20,0,1
6948.10,12,0,1
6948.10,19,0,1
6955.01,17,0,1
6955.05,12,0,1
7003.06,0,0,1
7059.08,17,0,1
7123.04,19,0,2
7141.07,16,0,1
7146.04,17,0,1
7149.05,16,0,2
7281.09,9,1,0
7288.04,14,0,1
7288.04,18,0,1
7311.02,13,0,1
7311.07,14,0,1
7323.09,11,0,1
7354.01,11,0,1
7484.05,16,0,1
7524.09,14,0,1
7524.16,7,0,1
7541.01,15,0,1
7577.27,20,0,1
7580.01,18,0,1
7646.04,17,0,2
7685.14,19,0,1
7713.11,17,1,0
7759.08,18,0,1
7774.02,17,0,1
7865.09,10,0,1
8029.28,22,0,2
8358.03,6,0,2
8358.03,8,0,2
8358.03,11,0,2
8358.03,17,0,1
8358.03,18,0,1
8358.10,14,0,1
8358.10,15,0,3
8381.04,14,0,1
8715.06,16,0,1
HB201,16,0,1
HB201,17,0,1
